Unidade;Area;Capacitacao;Tipo;Horas;Custo;Mes T1;Data T1;Status T1;Convidados T1;Presentes T1;NPS T1;Mes T2;Data T2;Status T2;Convidados T2;Presentes T2;NPS T2;Mes T3;Data T3;Status T3;Convidados T3;Presentes T3;NPS T3;Mes T4;Data T4;Status T4;Convidados T4;Presentes T4;NPS T4;Mes T5;Data T5;Status T5;Convidados T5;Presentes T5;NPS T5
API;Manutenç‹o;Inspeç‹o Moagens e Fornos;Interno;16;;Abr;7 a 9;Planejado;;13;;;;;;;;;;;;;;;;;;;;;;;;;
API;Produç‹o;Combust‹o | Consumo T?rmico;Interno;;;Set;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
API;Produç‹o;Manutenç‹o e Operaç‹o Resfriador ;Interno;;;Mai;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAF;Produç‹o;Combust‹o | Consumo T?rmico;Interno;;;Jun;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAF;Produç‹o;Formaç‹o de Aneis e Ciclos Volat?is ;Interno;;;Mai;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAF;Manutenç‹o;Formaç‹o Operador Mantenedor Ensacamento;Externo;32;47280;Mai;19 a 22;Planejado;15;;;;;;;;;;;;;;;;;;;;;;;;;;
CAF;Manutenç‹o;Manutenç‹o e Operaç‹o Moagens (atox 40.0);Externo;;;Jun;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAF;Manutenç‹o;Manutenç‹o e Operaç‹o Paletizadoras ;Externo;;;Mai;;Em andamento ;;;;JUN;01  a 03;Em andamento;;;;;;;;;;;;;;;;;;;;;
CEZ;Manutenç‹o;Manutenç‹o e Montagem Rolamentos ;Externo;;;Mar;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
CEZ;Manutenç‹o;Alinhamento Conjuntos Rotativos e Montagem de Rolamentos ;Externo;;;Jun;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
CEZ;Manutenç‹o;Linguagem Automaç‹o Industrial ;Externo;;;Jun;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
CEZ;Manutenç‹o;Manutenç‹o de Redultores de Velocidade;Externo;;;Jul;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
CEZ;Produç‹o;Formaç‹o Operador Mantenedor;Externo;;;Jul;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
IJA;Produç‹o;Formaç‹o de Aneis ;Externo;;;Ago;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
IJA;Produç‹o;Formaç‹o de Aneis ;Interno;;;Ago;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
IJA;Processos;Formaç‹o Analistas de Controle de Qualidade do Turno ;Externo;;;Mai;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
IJA;Processos;Formaç‹o Analistas de Controle de Qualidade do Turno ;Interno;;;Mai;;Em andamento ;;;;MAR;8 a 12;Realizado;10;9;95;MAI;5 a 10;Planejado;;;;;;;;;;;;;;;
IJA;Processos;Formaç‹o Operador Mantenedor Ensacamento;Externo;;;Abr;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
IJA;Processos;Formaç‹o Operador Mantenedor Ensacamento;Externo;;59718;Abr;;Em andamento ;;;;;;;;;;;;;;;;;;;;;;;;;;;
